Wine,Alcohol,Malic.acid,Ash,Acl
1,14.3,1.92,2.72,20
1,13.83,1.57,2.62,20
1,14.19,1.59,2.48,16.5
1,13.64,3.1,2.56,15.2
1,14.06,1.63,2.28,16
1,12.93,3.8,2.65,18.6
1,13.71,1.86,2.36,16.6
1,12.85,1.6,2.52,17.8
1,13.24,3.98,2.29,17.5
1,13.05,1.77,2.1,17
1,13.72,1.43,2.5,16.7
2,12.37,0.94,1.36,10.6
2,12.33,1.1,2.28,16
2,12.64,1.36,2.02,16.8
2,13.67,1.25,1.92,18
2,12.37,1.13,2.16,19
2,12.17,1.45,2.53,19
2,12.37,1.21,2.56,18.1
2,13.11,1.01,1.7,15
2,11.66,1.88,1.92,16
2,13.03,0.9,1.71,16
2,11.84,2.89,2.23,18
2,12.33,0.99,1.95,14.8
2,12.7,3.87,2.4,23
2,12,0.92,2,19
2,12.72,1.81,2.2,18.8
2,12.08,1.13,2.51,24
2,13.05,3.86,2.32,22.5
2,11.84,0.89,2.58,18
2,12.67,0.98,2.24,18
2,12.16,1.61,2.31,22.8
2,11.65,1.67,2.62,26
2,11.64,2.06,2.46,21.6
2,12.08,1.33,2.3,23.6
2,12.08,1.83,2.32,18.5
2,12,1.51,2.42,22
2,12.69,1.53,2.26,20.7
2,12.29,2.83,2.22,18
2,11.62,1.99,2.28,18
3,12.84,2.96,2.61,24
3,12.93,2.81,2.7,21
3,13.36,2.56,2.35,20
3,13.52,3.17,2.72,23.5
3,13.62,4.95,2.35,20
3,12.25,3.88,2.2,18.5
3,13.16,3.57,2.15,21
3,13.88,5.04,2.23,20
3,12.87,4.61,2.48,21.5
3,13.32,3.24,2.38,21.5
3,13.08,3.9,2.36,21.5